,gene_name
1060,KCNMB3
1061,C5AR2
1062,LTC4S
1063,DBP
1064,ACE2
1065,IFT80
1066,SETD4
1067,GALNT15
1068,MOGAT2
1069,CIDEC
1070,ZDHHC20
1071,PCNT
1072,PTPRG
1073,PNMA2
1074,SPATA19
1075,SLC22A31
1076,GTF3C4
1077,IFNGR1
1078,TNFRSF14
1079,ERCC1
1080,CLDND1
1081,CDKN2B
1082,ADPRS
1083,NELFE
1084,DAZL
1085,ERV3-1
1086,THOC6
1087,UBE2V2
1088,IPO4
1089,LILRA6
1090,UBASH3B
1091,SLC27A2
1092,ZNF474
1093,UBE4B
1094,KITLG
1095,LUM
1096,GLIS1
1097,APBB2
1098,TIFA
1099,GPM6A
1100,DDX21
1101,ZNF773
1102,PALM2AKAP2
1103,LRIG3
1104,CSH1
1105,MAGEA9B
1106,PREX2
1107,TNKS
1108,TXLNG
1109,AIG1
1110,COX4I2
1111,C9orf57
1112,SOX12
1113,CLDN8
1114,HTR2C
1115,FAM229B
1116,WNT4
1117,FETUB
1118,IFITM2
1119,TXLNB
1120,SLC2A5
1121,PCDHGA7
1122,HLA-DOA
1123,POU2AF1
1124,DCTN3
1125,PIN4
1126,FNDC11
1127,ZMYND15
1128,PRPSAP2
1129,GPR137
1130,LGALS3
1131,PQBP1
1132,NAAA
1133,ADAM33
1134,TNFAIP1
1135,IER3IP1
1136,DPH5
1137,COL14A1
1138,AMY1B
1139,GNG2
1140,RCSD1
1141,MUC5B
1142,CDC6
1143,PROB1
1144,DESI1
1145,OR2G2
1146,FAM20C
1147,SOD3
1148,TNFRSF6B
1149,MPHOSPH10
1150,TMEM127
1151,RP1-130H16.18
1152,EIF2AK1
1153,CHCHD5
1154,LSM8
1155,GATD3A
1156,USP4
1157,SYNC
1158,PRIMA1
1159,CCL21
1160,PRY2
1161,MUCL1
1162,EMCN
1163,CAT
1164,ENKD1
1165,AMN1
1166,ZFAND5
1167,THADA
1168,ANKUB1
1169,ATP5MC3
1170,CDK5R2
1171,TAF6
1172,NAA30
1173,CTRC
1174,PPP1R35
1175,CTSE
1176,SARS2
1177,OSBPL5
1178,RCC1L
1179,EHMT2
1180,CHD9
1181,DHPS
1182,CYP2C19
1183,SNRNP200
1184,L3MBTL2
1185,PRKAB1
1186,AIMP2
1187,WDR4
1188,IL17RB
1189,FANCG
1190,SARNP
1191,FAM240B
1192,LRRC63
1193,ADGRL4
1194,CFAP206
1195,ZFP64
1196,TMEM272
1197,HAAO
1198,SLC35C1
1199,STK10
1200,TACC2
1201,DIAPH2
1202,KCNK15
1203,SUPT7L
1204,APOOL
1205,GLIPR1L2
1206,GGCX
1207,RPS9
1208,NUDT19
1209,ASB3
1210,KLK9
1211,SLC29A4
1212,FNDC3B
1213,NEK3
1214,UBE2D4
1215,PHAX
1216,LTV1
1217,ASCL2
1218,LCORL
1219,EIF2AK4
1220,PPME1
1221,CNTNAP5
1222,CRB3
1223,HPDL
1224,RAPGEF2
1225,TTC37
1226,MAFK
1227,AKR1B15
1228,FUT5
1229,SMPD1
1230,NUP62
1231,COL1A2
1232,SMR3B
1233,MCEE
1234,YIPF1
1235,HOXD4
1236,LRRC6
1237,DBNL
1238,DSC2
1239,YTHDF1
1240,RAB34
1241,SRPK2
1242,GLIPR2
1243,SH2B3
1244,ZNF816-ZNF321P
1245,ZFP42
1246,CHCHD6
1247,C17orf98
1248,TNFRSF1A
1249,CLCF1
1250,STX16
1251,CNGA4
1252,MORN1
1253,ZNF83
1254,RGL4
1255,EGF
1256,DEFB113
1257,CCDC8
1258,COQ9
1259,STUM
1260,ID2
1261,DTX3L
1262,BIRC7
1263,KATNA1
1264,LEKR1
1265,FTMT
1266,LONRF1
1267,DOCK2
1268,FUCA2
1269,RFPL4A
1270,CEP250
1271,KCNJ15
1272,FBXW11
1273,MXI1
1274,ELK1
1275,CH507-9B2.9
1276,EIF3F
1277,FAM220A
1278,TNMD
1279,NTAQ1
1280,TNNI1
1281,LDB2
1282,POP1
1283,TIGD3
1284,PGAP4
1285,WDR48
1286,TUBGCP5
1287,GHRH
1288,PLIN3
1289,CX3CL1
1290,CHURC1
1291,ZNF282
1292,LAMB2
1293,CPT1C
1294,MCFD2
1295,CARNMT1
1296,RIOX1
1297,TMEM86A
1298,RAD51
1299,NBDY
1300,DCAF4L2
1301,DNAH14
1302,USP17L29
1303,BHLHA9
1304,AP5S1
1305,DAPP1
1306,NXPE2
1307,C14orf119
1308,TP53TG3
1309,OTUD7B
1310,FAM53B
1311,ATP6AP1
1312,PHF21A
1313,CHD3
1314,APOH
1315,PCDH17
1316,LMO4
1317,SSTR5
1318,AVEN
1319,NEK10
1320,CD6
1321,GOLGA6A
1322,GNG14
1323,CCDC7
1324,SPINDOC
1325,TBC1D1
1326,CFAP161
1327,LCOR
1328,ACAD10
1329,EMILIN1
1330,PKNOX2
1331,LBR
1332,DOK5
1333,SLC25A3
1334,LRIG1
1335,RNF113B
1336,TSHZ1
1337,PCDHB8
1338,NCR1
1339,PLEK
1340,FABP1
1341,TMEM31
1342,NLRP1
1343,TIMM17A
1344,OR14J1
1345,KCNK4
1346,CFAP36
1347,EAPP
1348,STOX1
1349,BBS4
1350,FNDC8
1351,TMUB1
1352,MTBP
1353,RHOF
1354,MMP24
1355,NPR3
1356,NR0B1
1357,TYROBP
1358,CNOT11
1359,TOP1MT
1360,TMEM151A
1361,MTFP1
1362,H4C5
1363,TNRC6C
1364,SAP30L
1365,CCDC3
1366,ZFP57
1367,PACRGL
1368,MSMP
1369,FAM214A
1370,ZNF382
1371,DISP3
1372,MATN1
1373,ATG4A
1374,STK33
1375,TTC30A
1376,GMIP
1377,RETREG2
1378,PIGQ
1379,EMC2
1380,ZC3H14
1381,DLAT
1382,DACH2
1383,FGF13
1384,PRKCH
1385,NKPD1
1386,NFE2
1387,CCDC68
1388,CKLF
1389,MT-ND3
1390,AC010646.3
1391,ZNF707
1392,SYTL1
1393,SRSF11
1394,CSNK2B
1395,NAPEPLD
1396,MYO9A
1397,LARS2
1398,ADARB2
1399,CCDC177
1400,ACTR1B
1401,CDR2
1402,PPDPF
1403,PACRG
1404,CYP2R1
1405,BST1
1406,LYSMD2
1407,SPATA31A5
1408,C17orf67
1409,PGF
1410,KCNMB2
1411,NECTIN4
1412,BAZ1B
1413,GTPBP1
1414,RFC4
1415,KLRC1
1416,FBXO5
1417,CHD8
1418,CYBRD1
1419,CCDC65
1420,MED12
1421,NCAM1
1422,TUBB4B
1423,KREMEN2
