Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cancer_Cell_Line_Encyclopedia	HS822T BONE	3/214	3.615322e-01	6.022529e-01	0	0	1.413790e+00	1.438396e+00	OSR1;PADI2;PAMR1
Cancer_Cell_Line_Encyclopedia	NCIH1092 LUNG	5/396	3.632017e-01	6.022529e-01	0	0	1.272805e+00	1.289093e+00	SPHKAP;NOVA1;SOX11;PAK3;POU4F1
Cancer_Cell_Line_Encyclopedia	DLD1 LARGE INTESTINE	1/45	3.641324e-01	6.022529e-01	0	0	2.256281e+00	2.279380e+00	CXCL5
Cancer_Cell_Line_Encyclopedia	MSTO211H PLEURA	1/45	3.641324e-01	6.022529e-01	0	0	2.256281e+00	2.279380e+00	CLDN11
Cancer_Cell_Line_Encyclopedia	YD15 SALIVARY GLAND	1/45	3.641324e-01	6.022529e-01	0	0	2.256281e+00	2.279380e+00	FAT2
Cancer_Cell_Line_Encyclopedia	NCIH727 LUNG	3/215	3.642542e-01	6.022529e-01	0	0	1.407049e+00	1.420984e+00	BPIFB2;GP2;TFF1
Cancer_Cell_Line_Encyclopedia	SW1353 BONE	2/128	3.668834e-01	6.053941e-01	0	0	1.577201e+00	1.581477e+00	CNN1;KCNMB1
Cancer_Cell_Line_Encyclopedia	NCIH510 LUNG	4/307	3.686234e-01	6.070584e-01	0	0	1.313195e+00	1.310542e+00	LFNG;CACNA2D2;HS3ST4;SYT17
Cancer_Cell_Line_Encyclopedia	SW1417 LARGE INTESTINE	2/129	3.704685e-01	6.077461e-01	0	0	1.564702e+00	1.553729e+00	PHGR1;GRPR
Cancer_Cell_Line_Encyclopedia	KYSE510 OESOPHAGUS	1/46	3.705054e-01	6.077461e-01	0	0	2.206030e+00	2.190339e+00	FAT2
Cancer_Cell_Line_Encyclopedia	SR786 HAEMATOPOIETIC AND LYMPHOID TISSUE	4/309	3.731578e-01	6.108895e-01	0	0	1.304450e+00	1.285866e+00	OLAH;TPO;TPRG1;LEMD1
Cancer_Cell_Line_Encyclopedia	NCIH1869 LUNG	2/130	3.740455e-01	6.111374e-01	0	0	1.552399e+00	1.526595e+00	AGR3;MSLN
Cancer_Cell_Line_Encyclopedia	NCIH520 LUNG	3/221	3.805444e-01	6.191294e-01	0	0	1.367904e+00	1.321603e+00	NXPH3;HAS3;HS3ST4
Cancer_Cell_Line_Encyclopedia	NCIH2066 LUNG	3/221	3.805444e-01	6.191294e-01	0	0	1.367904e+00	1.321603e+00	F7;SMOC1;SLC7A2
Cancer_Cell_Line_Encyclopedia	T3M4 PANCREAS	2/132	3.811749e-01	6.191294e-01	0	0	1.528361e+00	1.474099e+00	TNXB;CLCA4
Cancer_Cell_Line_Encyclopedia	PANC0813 PANCREAS	1/48	3.830614e-01	6.209785e-01	0	0	2.111943e+00	2.026536e+00	CXCL5
Cancer_Cell_Line_Encyclopedia	HS870T BONE	2/133	3.847268e-01	6.224624e-01	0	0	1.516617e+00	1.448705e+00	FMO2;PAMR1
Cancer_Cell_Line_Encyclopedia	NCIH2110 LUNG	2/134	3.882699e-01	6.236947e-01	0	0	1.505051e+00	1.423860e+00	AGR3;TFF1
Cancer_Cell_Line_Encyclopedia	IM95 STOMACH	3/224	3.886575e-01	6.236947e-01	0	0	1.349128e+00	1.275003e+00	ACE2;ALDH1L1;AGR3
Cancer_Cell_Line_Encyclopedia	HPBALL HAEMATOPOIETIC AND LYMPHOID TISSUE	4/316	3.890067e-01	6.236947e-01	0	0	1.274725e+00	1.203543e+00	EPHB6;ANGPTL7;BBOX1;ACTG2
Cancer_Cell_Line_Encyclopedia	SF295 CENTRAL NERVOUS SYSTEM	1/49	3.892456e-01	6.236947e-01	0	0	2.067839e+00	1.951099e+00	SOSTDC1
Cancer_Cell_Line_Encyclopedia	143B BONE	1/49	3.892456e-01	6.236947e-01	0	0	2.067839e+00	1.951099e+00	CLDN11
Cancer_Cell_Line_Encyclopedia	NCIH82 LUNG	4/317	3.912672e-01	6.257259e-01	0	0	1.270587e+00	1.192274e+00	OLAH;ST8SIA1;RCOR2;KCTD6
Cancer_Cell_Line_Encyclopedia	NCIH1694 LUNG	4/318	3.935265e-01	6.281288e-01	0	0	1.266476e+00	1.181124e+00	NXPH3;CACNA2D2;SOX11;POU4F1
Cancer_Cell_Line_Encyclopedia	NCIH647 LUNG	1/50	3.953682e-01	6.298571e-01	0	0	2.025536e+00	1.879571e+00	CXCL5
Cancer_Cell_Line_Encyclopedia	TOV112D OVARY	2/137	3.988450e-01	6.329663e-01	0	0	1.471380e+00	1.352467e+00	CLDN11;TMEM132C
Cancer_Cell_Line_Encyclopedia	SW48 LARGE INTESTINE	2/137	3.988450e-01	6.329663e-01	0	0	1.471380e+00	1.352467e+00	ALDH1L1;LEMD1
Cancer_Cell_Line_Encyclopedia	CMK HAEMATOPOIETIC AND LYMPHOID TISSUE	4/322	4.025512e-01	6.376288e-01	0	0	1.250289e+00	1.137679e+00	IRX1;ZBTB16;C2ORF88;SOSTDC1
Cancer_Cell_Line_Encyclopedia	NMCG1 CENTRAL NERVOUS SYSTEM	2/139	4.058481e-01	6.392579e-01	0	0	1.449753e+00	1.307353e+00	FABP7;PAK3
Cancer_Cell_Line_Encyclopedia	GRM SKIN	2/139	4.058481e-01	6.392579e-01	0	0	1.449753e+00	1.307353e+00	EPHB6;PPP1R14A
